filename,m,n,k,fitness,iteration,execution_time(s),num_particles,inertia_type,inertia_value,neighborhood_size,c1,c2,dist_type,selection_type
scpb3.txt,3000,300,150,300,1,0.02255535125732422,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01834559440612793,10,linear,,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.015882492065429688,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015355587005615234,10,linear,,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.014252662658691406,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.013616323471069336,10,linear,,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.09576082229614258,10,linear,,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.035974740982055664,10,linear,,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.013027429580688477,10,linear,,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017803192138671875,10,linear,,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.014489412307739258,10,linear,,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.02340102195739746,10,linear,,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.015009641647338867,10,linear,,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01865983009338379,10,linear,,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.022570371627807617,10,fixed,0.2,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.0176393985748291,10,fixed,0.2,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.014914989471435547,10,fixed,0.2,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.016459941864013672,10,fixed,0.2,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.017297983169555664,10,fixed,0.2,,2.0,1.5,bit-wise,stochastic
