filename,m,n,k,initial_fitness,fitness,iteration,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scp42.txt,1000,200,50,142,154,500,25.085678815841675,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp42.txt,1000,200,50,142,154,700,36.47516441345215,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp42.txt,1000,200,50,142,154,1000,54.42889642715454,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp42.txt,1000,200,50,141,153,100,6.040273666381836,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp42.txt,1000,200,50,141,153,300,18.09629464149475,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp42.txt,1000,200,50,141,156,500,30.18765354156494,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp42.txt,1000,200,50,141,156,700,42.19566869735718,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp42.txt,1000,200,50,141,156,1000,60.53806495666504,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp42.txt,1000,200,50,140,151,100,6.07253623008728,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp42.txt,1000,200,50,140,153,300,18.231546878814697,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp42.txt,1000,200,50,140,153,500,30.46601438522339,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp42.txt,1000,200,50,140,153,700,42.66868734359741,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp42.txt,1000,200,50,140,154,1000,61.17777013778687,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp42.txt,1000,200,50,144,153,100,6.123790264129639,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,144,153,300,18.36089515686035,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,144,153,500,30.611448287963867,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,144,153,700,42.87536811828613,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,144,158,1000,61.339672565460205,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp43.txt,1000,200,50,143,148,100,4.660207033157349,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp43.txt,1000,200,50,143,150,300,14.80566430091858,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp43.txt,1000,200,50,143,151,500,25.15939235687256,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp43.txt,1000,200,50,143,151,700,36.57260251045227,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp43.txt,1000,200,50,143,154,1000,54.6873950958252,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp43.txt,1000,200,50,141,154,100,6.01953125,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp43.txt,1000,200,50,141,154,300,18.06689691543579,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
